step,loss,probe_loss,probe_accuracy,wall_clock_s
4870,2.0164,2.0808,0.188,14.35
4880,2.0546,2.088,0.195,14.38
4890,1.9854,2.0557,0.207,14.41
4900,1.9866,2.0838,0.211,14.44
4910,2.0524,2.0875,0.223,14.47
4920,2.0941,2.0595,0.207,14.5
4930,1.9195,2.0613,0.207,14.53
4940,2.0155,2.0705,0.168,14.56
4950,2.124,2.0533,0.207,14.59
4960,2.2984,2.124,0.199,14.62
4970,2.1741,2.0542,0.188,14.65
4980,2.0594,2.061,0.152,14.68
4990,1.9221,2.0523,0.191,14.71
5000,2.2899,2.2214,0.172,14.74
5010,1.9946,2.0659,0.203,14.77
5020,2.0696,2.1562,0.121,14.79
5030,1.9589,2.0876,0.148,14.82
5040,2.1084,2.0593,0.156,14.85
5050,2.2494,2.0733,0.156,14.88
5060,2.1718,2.0561,0.137,14.91
5070,2.1966,2.0766,0.168,14.94
5080,1.9944,2.0972,0.148,14.97
5090,2.2116,2.0763,0.152,15.0
5100,2.0753,2.0593,0.164,15.03
5110,2.2143,2.088,0.152,15.06
5120,2.0938,2.0966,0.152,15.09
5130,1.9969,2.0697,0.152,15.12
5140,2.1418,2.1174,0.156,15.15
5150,2.1,2.1353,0.176,15.18
5160,2.1262,2.0881,0.16,15.2
5170,1.9851,2.059,0.148,15.23
5180,2.1675,2.0881,0.156,15.26
5190,2.0518,2.0551,0.148,15.29
5200,2.168,2.058,0.16,15.32
5210,2.0329,2.0665,0.152,15.35
5220,2.0375,2.0572,0.156,15.38
5230,2.132,2.0633,0.16,15.41
5240,1.978,2.0723,0.148,15.44
5250,2.04,2.0914,0.156,15.47
5260,2.3225,2.1271,0.141,15.5
5270,2.0144,2.0716,0.168,15.52
5280,2.1035,2.0965,0.152,15.55
5290,1.9623,2.0372,0.211,15.58
5300,1.9801,2.043,0.148,15.61
5310,2.238,2.0519,0.148,15.64
5320,1.9866,2.0587,0.137,15.67
5330,1.9364,2.0447,0.145,15.7
5340,2.1932,2.1211,0.129,15.73
5350,2.0509,2.0449,0.191,15.76
5360,1.9977,2.0651,0.16,15.79
5370,2.0544,2.0732,0.156,15.82
5380,2.172,2.0693,0.16,15.85
5390,2.0585,2.035,0.207,15.88
5400,2.0782,2.0779,0.141,15.91
5410,1.9567,2.0506,0.168,15.94
5420,2.0041,2.0426,0.156,15.97
5430,2.2349,2.0552,0.141,16.0
5440,2.0011,2.0442,0.16,16.03
5450,1.9858,2.0551,0.203,16.05
5460,2.0559,2.0303,0.18,16.08
5470,2.0823,2.0522,0.18,16.11
5480,2.0497,2.0473,0.211,16.14
5490,1.9553,2.0629,0.195,16.17
5500,2.0034,2.0467,0.203,16.2
5510,2.0323,2.0661,0.184,16.23
5520,1.9339,2.0368,0.207,16.26
5530,2.1058,2.0414,0.203,16.29
5540,2.016,2.0482,0.199,16.32
5550,2.1065,2.031,0.191,16.35
5560,2.1437,2.0296,0.207,16.38
5570,1.9643,2.0576,0.164,16.41
5580,2.0163,2.073,0.164,16.44
5590,2.2268,2.0497,0.16,16.46
5600,2.0558,2.0246,0.184,16.49
5610,2.0618,2.0384,0.211,16.52
5620,2.1238,2.0241,0.188,16.55
5630,1.8643,2.0189,0.199,16.58
5640,2.1284,2.0454,0.207,16.61
5650,2.0939,2.0272,0.195,16.64
5660,2.0063,2.0629,0.156,16.67
5670,2.0625,2.0378,0.184,16.7
5680,2.0288,2.045,0.164,16.73
5690,2.1218,2.0642,0.156,16.76
5700,2.2061,2.0379,0.145,16.79
5710,2.1963,2.0532,0.16,16.82
5720,2.0441,2.0284,0.203,16.85
5730,2.203,2.0552,0.188,16.88
5740,2.0925,2.0387,0.199,16.91
5750,2.1654,2.0244,0.164,16.94
5760,2.1567,2.0328,0.219,16.96
5770,2.0995,2.0256,0.227,16.99
5780,2.0211,2.0361,0.191,17.02
5790,1.9828,2.0276,0.164,17.05
5800,2.1494,2.0389,0.172,17.08
5810,2.1361,2.097,0.191,17.11
5820,1.8911,2.0395,0.199,17.14
5830,1.9982,2.0506,0.176,17.17
5840,1.9128,2.0185,0.199,17.2
5850,2.0907,2.0378,0.199,17.23
5860,2.2486,2.0234,0.207,17.26
5870,2.0011,2.02,0.211,17.29
5880,2.033,2.0353,0.184,17.32
5890,1.9877,2.0626,0.184,17.34
5900,2.1436,2.0283,0.207,17.37
5910,1.9697,2.0279,0.219,17.4
5920,1.9793,2.0222,0.191,17.43
5930,1.8096,2.0304,0.203,17.46
5940,1.9687,2.0351,0.176,17.49
5950,1.9329,2.0224,0.203,17.52
5960,2.1538,2.0106,0.199,17.55
5970,2.1563,2.1136,0.133,17.58
5980,2.0073,2.0439,0.156,17.61
5990,2.234,2.0332,0.164,17.64
6000,2.0066,2.0365,0.199,17.67
6010,2.0339,2.0263,0.207,17.7
