step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
100.0,2.5345,2.5585,2.565,0.121,0.125,0.1,12.28,0.007813,0.007812,0.746,2158.0,35.0,-1330.0,620.0,106.26
101.0,2.7785,2.5791,2.5588,0.137,0.094,0.1,2.427,0.007813,0.007812,0.96,572.6,35.0,-414.0,201.0,107.35
102.0,2.399,2.5628,2.5534,0.133,0.125,0.1,4.576,0.01563,0.01562,0.778,271.4,35.0,-151.0,1120.0,108.65
103.0,2.6323,2.5649,2.5548,0.141,0.062,0.1,5.211,0.03125,0.03125,0.307,605.7,35.0,-503.0,613.0,110.0
104.0,2.4518,2.5645,2.5281,0.129,0.188,0.1,9.834,0.03125,0.03125,-0.009,6315.0,36.0,-6100.0,249.0,111.19
105.0,2.6193,2.5687,2.5281,0.129,0.062,0.1,3.807,0.007813,0.007812,0.169,1369.0,35.0,-1100.0,411.0,112.15
106.0,2.7286,2.5687,2.5218,0.145,0.062,0.1,2.846,0.001953,0.001953,0.997,1366.0,40.0,-65.5,590.0,113.24
107.0,2.3606,2.5566,2.5221,0.145,0.094,0.1,8.061,0.003906,0.003906,1.078,2103.0,36.0,-551.0,580.0,114.29
108.0,2.5224,2.5636,2.5289,0.141,0.125,0.1,8.65,0.007813,0.007812,0.915,1437.0,37.0,-647.0,2160.0,115.44
109.0,2.6045,2.5691,2.5381,0.137,0.062,0.1,6.688,0.01563,0.01562,0.344,1345.0,35.0,-968.0,148.0,116.63
110.0,2.3878,2.5555,2.5144,0.125,0.031,0.1,4.439,0.01563,0.01562,0.746,431.4,35.0,-299.0,5060.0,117.82
111.0,2.2819,2.5354,2.5313,0.129,0.219,0.1,3.994,0.01563,0.01562,0.343,1091.0,35.0,-868.0,663.0,119.17
112.0,2.5774,2.5319,2.565,0.137,0.125,0.1,5.876,0.01563,0.01562,0.311,448.8,35.0,-277.0,1620.0,120.5
113.0,2.387,2.5354,2.5353,0.129,0.125,0.1,4.078,0.01563,0.01562,-0.184,614.5,35.0,-468.0,664.0,121.8
114.0,2.6712,2.5344,2.5353,0.129,0.031,0.1,6.582,0.003906,0.003906,0.911,2545.0,37.0,-1030.0,414.0,122.98
115.0,2.3178,2.5192,2.5327,0.121,0.125,0.1,9.073,0.007813,0.007812,1.058,444.3,38.0,-98.8,5970.0,124.11
116.0,2.5663,2.5231,2.5509,0.129,0.125,0.1,3.633,0.01562,0.01562,-0.116,2457.0,36.0,-2310.0,274.0,125.52
117.0,2.4716,2.5162,2.5509,0.129,0.188,0.1,18.58,0.003906,0.003906,0.399,15360.0,35.0,-12300.0,5150.0,126.62
118.0,2.4792,2.5248,2.5435,0.125,0.156,0.1,7.672,0.003906,0.003906,0.945,2267.0,37.0,-655.0,338.0,128.0
119.0,2.6246,2.5198,2.5416,0.121,0.062,0.1,5.654,0.007813,0.007812,0.171,3760.0,35.0,-3190.0,49.3,129.21
120.0,2.4639,2.5163,2.5382,0.129,0.062,0.1,7.366,0.001953,0.001953,0.972,12590.0,35.0,-9020.0,2390.0,130.31
121.0,2.5818,2.5064,2.5394,0.129,0.062,0.1,2.116,0.003906,0.003906,1.085,464.8,37.0,-158.0,1610.0,131.6
122.0,2.3413,2.5036,2.5394,0.137,0.188,0.1,4.43,0.007813,0.007812,1.154,196.2,35.0,-121.0,1220.0,132.88
123.0,2.5008,2.497,2.5434,0.137,0.125,0.1,3.465,0.01563,0.01562,0.934,197.4,35.0,-145.0,537.0,134.15
124.0,2.5468,2.5017,2.535,0.133,0.062,0.1,5.681,0.03125,0.03125,0.493,205.3,36.0,-182.0,584.0,135.33
125.0,2.5369,2.4976,2.4835,0.129,0.156,0.1,2.161,0.03125,0.03125,0.215,517.1,36.0,-470.0,176.0,136.5
126.0,2.6875,2.4956,2.498,0.121,0.094,0.1,6.627,0.007813,0.007812,0.11,915.6,37.0,-405.0,3110.0,137.54
127.0,2.3467,2.4949,2.5011,0.125,0.156,0.1,7.191,0.001953,0.001953,1.058,3334.0,38.0,-456.0,588.0,138.85
128.0,2.3975,2.4886,2.5069,0.125,0.062,0.1,4.613,0.003906,0.003906,1.03,563.7,41.0,-12.3,3720.0,140.02
129.0,2.5391,2.4853,2.5056,0.129,0.125,0.1,4.361,0.007813,0.007812,0.653,2564.0,35.0,-2020.0,271.0,141.25
130.0,2.639,2.4979,2.5038,0.125,0.156,0.1,2.085,0.007813,0.007812,0.286,983.7,36.0,-862.0,732.0,142.59
131.0,2.5369,2.5107,2.5097,0.121,0.062,0.1,3.217,0.007813,0.007812,0.958,383.0,37.0,-157.0,348.0,143.82
132.0,2.4765,2.5056,2.5088,0.125,0.125,0.1,18.02,0.01563,0.01562,-0.08,4327.0,35.0,-3210.0,173.0,145.3
133.0,2.5437,2.5135,2.5088,0.125,0.094,0.1,7.877,0.003906,0.003906,-0.145,3006.0,37.0,-1460.0,2040.0,146.48
134.0,2.3558,2.4977,2.5088,0.125,0.125,0.1,3.224,0.0009766,0.0009766,0.983,4345.0,37.0,-1290.0,499.0,147.64
135.0,2.3686,2.5002,2.5094,0.125,0.188,0.1,2.175,0.001953,0.001953,0.532,2260.0,35.0,-1340.0,883.0,149.13
136.0,2.6168,2.5027,2.5088,0.125,0.0,0.1,10.0,0.001953,0.001953,0.721,5208.0,38.0,-930.0,3960.0,150.24
137.0,2.5751,2.5079,2.5084,0.125,0.094,0.1,3.627,0.001953,0.001953,0.884,3131.0,37.0,-1420.0,72.6,151.47
138.0,2.6625,2.5171,2.5084,0.125,0.125,0.1,2.729,0.003906,0.003906,0.749,4195.0,36.0,-3880.0,69.1,152.81
139.0,2.4739,2.5096,2.5056,0.121,0.125,0.1,5.035,0.003906,0.003906,0.907,3108.0,35.0,-2060.0,722.0,154.28
140.0,2.5295,2.5128,2.5056,0.121,0.125,0.1,4.668,0.007813,0.007812,0.878,252.7,37.0,-95.7,4320.0,155.53
141.0,2.4227,2.5049,2.5137,0.121,0.125,0.1,14.93,0.01563,0.01562,0.987,235.3,38.0,-34.9,2060.0,156.81
142.0,2.518,2.5137,2.506,0.129,0.062,0.1,6.218,0.03125,0.03125,-0.033,2637.0,36.0,-2580.0,808.0,158.03
143.0,2.8295,2.5302,2.506,0.129,0.094,0.1,6.352,0.007813,0.007812,0.461,3143.0,35.0,-2470.0,210.0,159.47
144.0,2.3234,2.519,2.5081,0.129,0.156,0.1,1.673,0.007813,0.007812,0.978,193.4,37.0,-86.7,853.0,161.05
145.0,2.3256,2.5084,2.5049,0.129,0.188,0.1,6.401,0.01562,0.01562,-0.165,791.9,35.0,-634.0,1740.0,162.34
146.0,2.7499,2.5115,2.5049,0.129,0.125,0.1,8.526,0.003906,0.003906,0.813,3061.0,35.0,-1680.0,88.3,163.52
147.0,2.5219,2.5203,2.5075,0.133,0.031,0.1,2.507,0.007813,0.007812,0.712,992.1,35.0,-731.0,61.1,164.96
148.0,2.6182,2.5313,2.5078,0.129,0.094,0.1,4.034,0.007813,0.007812,0.602,1832.0,36.0,-1650.0,202.0,166.63
149.0,2.4219,2.5255,2.5006,0.137,0.125,0.1,1.349,0.007813,0.007812,1.062,227.5,35.0,-123.0,341.0,167.89
150.0,2.6069,2.5239,2.5016,0.133,0.062,0.1,5.842,0.01563,0.01562,0.28,998.5,35.0,-750.0,615.0,169.29
151.0,2.5273,2.5234,2.5002,0.133,0.188,0.1,3.522,0.01563,0.01562,0.265,647.1,36.0,-582.0,279.0,170.55
152.0,2.5158,2.5254,2.5103,0.137,0.094,0.1,4.641,0.01563,0.01562,1.257,247.1,35.0,-138.0,272.0,171.88
153.0,2.4827,2.5223,2.502,0.121,0.125,0.1,3.813,0.03125,0.03125,0.037,2420.0,36.0,-2390.0,91.0,173.17
154.0,2.3968,2.5244,2.502,0.121,0.062,0.1,9.213,0.007812,0.007812,0.103,14850.0,36.0,-13700.0,49.1,174.71
155.0,2.667,2.5393,2.501,0.141,0.031,0.1,2.713,0.001953,0.001953,0.745,4008.0,36.0,-3470.0,158.0,176.12
156.0,2.3905,2.528,2.4981,0.133,0.156,0.1,9.194,0.001953,0.001953,0.741,9249.0,35.0,-4780.0,130.0,177.49
157.0,2.3007,2.5142,2.5009,0.145,0.156,0.1,12.24,0.001953,0.001953,0.84,4759.0,41.0,-127.0,1720.0,178.87
