step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
2250.0,2.3032,2.3024,2.302,0.105,0.062,0.1,0.008005,0.0008005,6.88
2260.0,2.3017,2.3024,2.302,0.102,0.25,0.1,0.009597,0.0009597,6.91
2270.0,2.3026,2.3023,2.302,0.105,0.125,0.1,0.004142,0.0004142,6.94
2280.0,2.3025,2.3022,2.302,0.105,0.125,0.1,0.002745,0.0002745,6.97
2290.0,2.3028,2.3023,2.302,0.105,0.031,0.1,0.006208,0.0006208,7.0
2300.0,2.3024,2.3024,2.302,0.105,0.125,0.1,0.00874,0.000874,7.03
2310.0,2.3036,2.3026,2.302,0.105,0.031,0.1,0.01677,0.001677,7.06
2320.0,2.3032,2.3024,2.302,0.105,0.031,0.1,0.007626,0.0007626,7.09
2330.0,2.3011,2.3023,2.302,0.105,0.281,0.1,0.02219,0.002219,7.12
2340.0,2.3024,2.3025,2.302,0.105,0.094,0.1,0.004332,0.0004332,7.15
2350.0,2.3024,2.3025,2.302,0.105,0.094,0.1,0.005178,0.0005178,7.18
2360.0,2.3021,2.3024,2.302,0.105,0.125,0.1,0.004723,0.0004723,7.21
2370.0,2.3018,2.3024,2.3019,0.105,0.188,0.1,0.009554,0.0009554,7.24
2380.0,2.3022,2.3024,2.302,0.105,0.062,0.1,0.008752,0.0008752,7.27
2390.0,2.3026,2.3024,2.3019,0.102,0.031,0.1,0.004519,0.0004519,7.29
2400.0,2.3017,2.3024,2.3019,0.102,0.188,0.1,0.01606,0.001606,7.32
2410.0,2.3029,2.3025,2.3019,0.102,0.031,0.1,0.005427,0.0005427,7.35
2420.0,2.3014,2.3024,2.3019,0.102,0.094,0.1,0.01865,0.001865,7.38
2430.0,2.3021,2.3023,2.3019,0.102,0.062,0.1,0.006183,0.0006183,7.41
2440.0,2.3015,2.3024,2.3019,0.102,0.156,0.1,0.01554,0.001554,7.44
2450.0,2.3021,2.3023,2.3019,0.102,0.156,0.1,0.004601,0.0004601,7.48
2460.0,2.303,2.3023,2.3019,0.102,0.031,0.1,0.01193,0.001193,7.53
2470.0,2.3024,2.3023,2.3019,0.098,0.062,0.1,0.004736,0.0004736,7.56
2480.0,2.3022,2.3021,2.3018,0.094,0.062,0.1,0.005841,0.0005841,7.59
2490.0,2.3034,2.3022,2.3018,0.094,0.031,0.1,0.01181,0.001181,7.62
2500.0,2.3031,2.3023,2.3018,0.094,0.0,0.1,0.01685,0.001685,7.65
2510.0,2.3025,2.3023,2.3018,0.094,0.0,0.1,0.003665,0.0003665,7.68
2520.0,2.3024,2.3021,2.3018,0.094,0.125,0.1,0.007572,0.0007572,7.71
2530.0,2.3011,2.3022,2.3018,0.094,0.031,0.1,0.01847,0.001847,7.73
2540.0,2.3009,2.3023,2.3018,0.094,0.188,0.1,0.01823,0.001823,7.76
2550.0,2.3025,2.3022,2.3017,0.094,0.219,0.1,0.01027,0.001027,7.79
2560.0,2.3016,2.3023,2.3017,0.094,0.188,0.1,0.008879,0.0008879,7.82
2570.0,2.3033,2.3023,2.3017,0.098,0.062,0.1,0.00867,0.000867,7.85
2580.0,2.3028,2.3022,2.3017,0.094,0.0,0.1,0.009432,0.0009432,7.88
