step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
1240.0,2.1871,2.1148,2.1004,0.18,0.156,0.03,1.139,0.03418,4.17
1250.0,1.9779,2.1068,2.0873,0.203,0.281,0.03,1.361,0.04084,4.2
1260.0,2.1093,2.0977,2.1265,0.184,0.156,0.03,2.483,0.07448,4.23
1270.0,2.1187,2.115,2.0749,0.203,0.125,0.03,1.375,0.04126,4.27
1280.0,2.0422,2.0946,2.0994,0.16,0.281,0.03,4.109,0.1233,4.31
1290.0,2.1867,2.0977,2.1559,0.18,0.188,0.03,2.653,0.07959,4.34
1300.0,2.1089,2.0905,2.0977,0.191,0.125,0.03,1.62,0.04859,4.37
1310.0,1.9682,2.0991,2.0739,0.195,0.344,0.03,1.757,0.0527,4.4
1320.0,2.066,2.1201,2.1433,0.184,0.156,0.03,3.352,0.1006,4.43
1330.0,1.9568,2.0768,2.0855,0.199,0.156,0.03,1.783,0.05348,4.46
1340.0,2.1233,2.0988,2.0789,0.184,0.219,0.03,1.845,0.05534,4.49
1350.0,2.0886,2.1211,2.0823,0.223,0.344,0.03,1.188,0.03563,4.52
1360.0,1.9127,2.0588,2.0731,0.203,0.344,0.03,1.732,0.05197,4.55
1370.0,1.9887,2.0479,2.1095,0.168,0.25,0.03,1.319,0.03956,4.58
1380.0,1.9197,2.0644,2.1,0.184,0.219,0.03,1.481,0.04444,4.61
1390.0,2.0784,2.0802,2.0805,0.191,0.125,0.03,1.634,0.04901,4.64
1400.0,2.2497,2.1031,2.0942,0.207,0.188,0.03,2.525,0.07574,4.67
1410.0,2.1875,2.0968,2.122,0.188,0.156,0.03,2.407,0.07221,4.7
1420.0,1.9274,2.0484,2.0799,0.184,0.344,0.03,1.934,0.05803,4.73
1430.0,2.1875,2.0448,2.096,0.148,0.219,0.03,3.252,0.09756,4.76
1440.0,2.2254,2.0797,2.0792,0.219,0.156,0.03,2.803,0.0841,4.79
1450.0,2.0382,2.0928,2.087,0.223,0.188,0.03,2.059,0.06177,4.82
1460.0,2.0779,2.1098,2.0849,0.219,0.219,0.03,2.183,0.06548,4.85
1470.0,2.11,2.0697,2.1201,0.172,0.219,0.03,5.139,0.1542,4.88
1480.0,2.1876,2.0567,2.1566,0.137,0.094,0.03,2.819,0.08456,4.91
1490.0,2.0566,2.0462,2.0551,0.164,0.219,0.03,1.309,0.03927,4.94
1500.0,2.3301,2.0738,2.0691,0.168,0.125,0.03,3.294,0.09882,4.97
1510.0,2.0999,2.1149,2.0631,0.168,0.219,0.03,1.206,0.03618,5.0
1520.0,2.0178,2.1182,2.0462,0.211,0.25,0.03,1.469,0.04408,5.04
1530.0,2.0123,2.0998,2.0721,0.199,0.25,0.03,3.743,0.1123,5.07
1540.0,2.1804,2.0823,2.0692,0.207,0.125,0.03,0.7496,0.02249,5.1
1550.0,2.0914,2.0879,2.0637,0.223,0.156,0.03,1.907,0.0572,5.13
1560.0,1.8319,2.0482,2.0434,0.223,0.219,0.03,4.017,0.1205,5.16
1570.0,2.201,2.0598,2.197,0.191,0.25,0.03,3.632,0.109,5.19
1580.0,1.9229,2.0512,2.045,0.219,0.281,0.03,2.08,0.0624,5.22
1590.0,1.8733,2.0298,2.072,0.191,0.312,0.03,2.936,0.08808,5.25
1600.0,1.9698,2.0639,2.0654,0.215,0.219,0.03,2.548,0.07643,5.28
1610.0,1.7804,2.0422,2.0531,0.227,0.344,0.03,1.702,0.05105,5.31
1620.0,1.9933,2.042,2.0732,0.211,0.219,0.03,1.111,0.03334,5.34
1630.0,1.8447,2.0649,2.0711,0.18,0.344,0.03,2.29,0.06869,5.37
1640.0,1.8933,2.0316,2.0282,0.199,0.312,0.03,1.627,0.04881,5.4
1650.0,2.0315,2.0704,2.055,0.199,0.188,0.03,1.885,0.05654,5.43
1660.0,2.0957,2.0478,2.0485,0.203,0.281,0.03,2.308,0.06924,5.46
1670.0,1.9622,2.0324,2.1424,0.168,0.219,0.03,3.742,0.1123,5.5
1680.0,2.0737,2.0876,2.0288,0.195,0.25,0.03,1.644,0.04933,5.53
1690.0,2.1723,2.0648,2.1075,0.215,0.156,0.03,2.918,0.08753,5.56
1700.0,1.9846,2.0081,2.0604,0.242,0.281,0.03,2.658,0.07974,5.59
1710.0,2.0823,2.0116,2.0333,0.227,0.219,0.03,0.8073,0.02422,5.62
1720.0,2.1499,2.0277,2.1796,0.172,0.031,0.03,5.11,0.1533,5.65
1730.0,2.1211,2.037,2.0317,0.219,0.25,0.03,2.409,0.07226,5.68
1740.0,2.1158,2.087,2.1479,0.27,0.281,0.03,3.13,0.0939,5.71
1750.0,2.0571,2.0888,2.0645,0.234,0.281,0.03,1.525,0.04576,5.74
1760.0,2.244,2.0709,2.0937,0.16,0.188,0.03,1.47,0.0441,5.77
1770.0,1.9589,2.0738,2.1025,0.234,0.125,0.03,5.031,0.1509,5.82
1780.0,1.918,2.0627,2.0679,0.199,0.281,0.03,2.869,0.08608,5.87
1790.0,1.8409,2.035,2.0321,0.223,0.375,0.03,1.211,0.03632,5.9
1800.0,1.9111,2.0187,2.0776,0.242,0.219,0.03,1.136,0.03409,5.93
1810.0,1.8914,2.0271,2.0209,0.223,0.375,0.03,2.486,0.07458,5.96
1820.0,1.9017,2.011,2.0397,0.27,0.25,0.03,2.595,0.07784,5.99
1830.0,2.124,2.0157,2.0693,0.199,0.188,0.03,4.096,0.1229,6.02
1840.0,2.302,2.0671,2.0868,0.145,0.125,0.03,2.359,0.07077,6.05
1850.0,1.9741,2.0656,2.0731,0.148,0.156,0.03,1.528,0.04583,6.08
1860.0,2.1863,2.0504,2.0539,0.188,0.188,0.03,1.447,0.04341,6.12
1870.0,1.9424,2.0561,2.0678,0.223,0.375,0.03,1.857,0.05571,6.15
1880.0,1.983,2.0169,2.0432,0.215,0.25,0.03,1.896,0.05689,6.18
1890.0,2.0176,2.0485,2.0309,0.223,0.281,0.03,1.526,0.04577,6.21
1900.0,1.9036,2.0835,2.0645,0.188,0.219,0.03,1.068,0.03203,6.24
1910.0,2.2165,2.038,2.0347,0.227,0.219,0.03,3.073,0.0922,6.27
1920.0,2.1118,2.0416,2.113,0.168,0.156,0.03,1.174,0.03521,6.3
1930.0,2.2065,2.0471,2.0162,0.207,0.219,0.03,1.174,0.03523,6.33
1940.0,1.8816,1.9996,2.0225,0.223,0.188,0.03,1.205,0.03615,6.36
1950.0,2.0753,1.9804,2.1436,0.195,0.281,0.03,2.92,0.08759,6.39
1960.0,1.9045,2.0255,2.0437,0.195,0.25,0.03,1.998,0.05993,6.42
1970.0,2.198,2.0407,2.2084,0.172,0.125,0.03,4.709,0.1413,6.45
1980.0,2.1267,2.0197,2.0277,0.184,0.156,0.03,0.7773,0.02332,6.48
1990.0,2.2452,2.0563,2.0277,0.254,0.062,0.03,2.566,0.07698,6.51
2000.0,2.0861,2.0397,2.0138,0.234,0.25,0.03,2.463,0.07389,6.54
2010.0,1.9005,2.0121,2.0218,0.215,0.375,0.03,1.107,0.03321,6.57
2020.0,2.0532,2.011,2.018,0.223,0.188,0.03,1.124,0.03371,6.6
2030.0,1.942,2.0204,2.031,0.164,0.375,0.03,2.261,0.06783,6.63
2040.0,1.9291,2.0536,2.0521,0.203,0.281,0.03,3.718,0.1115,6.66
2050.0,1.9954,2.0503,2.0296,0.215,0.281,0.03,1.219,0.03657,6.69
2060.0,2.1079,2.0664,2.072,0.215,0.188,0.03,2.49,0.0747,6.72
2070.0,2.1056,2.062,2.0238,0.191,0.125,0.03,2.123,0.06368,6.75
2080.0,1.9264,2.036,2.0068,0.27,0.344,0.03,2.721,0.08162,6.78
2090.0,2.0311,2.0235,2.0674,0.211,0.281,0.03,2.467,0.07401,6.81
2100.0,1.8345,1.998,2.05,0.207,0.438,0.03,1.651,0.04954,6.84
2110.0,1.9513,2.0028,2.0305,0.246,0.219,0.03,1.123,0.0337,6.87
2120.0,2.3427,2.0468,2.0355,0.199,0.188,0.03,1.737,0.05212,6.9
2130.0,1.9591,2.0424,2.0093,0.238,0.219,0.03,1.668,0.05003,6.93
2140.0,1.9488,2.0334,2.0196,0.215,0.219,0.03,1.824,0.05472,6.96
2150.0,1.9522,2.0345,2.0058,0.234,0.281,0.03,1.676,0.05029,6.99
2160.0,1.7996,2.0296,2.0322,0.23,0.312,0.03,1.043,0.03129,7.02
2170.0,1.8862,2.0226,2.0065,0.219,0.25,0.03,1.486,0.04458,7.05
2180.0,1.7895,2.0381,2.0085,0.23,0.344,0.03,3.518,0.1055,7.08
2190.0,1.9597,2.0351,2.0045,0.242,0.188,0.03,2.371,0.07113,7.11
2200.0,2.0305,2.0041,1.9891,0.25,0.281,0.03,2.301,0.06903,7.14
2210.0,1.9402,2.011,2.019,0.223,0.281,0.03,1.601,0.04802,7.17
2220.0,2.195,2.0249,2.0305,0.195,0.219,0.03,2.354,0.07062,7.2
