step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
116.0,2.3041,2.3053,2.2987,0.141,0.156,0.1,0.3841,0.03125,0.03125,-1.676,40.22,35.0,-27.9,1.86,126.69
117.0,2.301,2.3052,2.2987,0.141,0.219,0.1,0.2957,0.007812,0.007812,1.035,54.11,37.0,-16.3,1.1,127.79
118.0,2.3132,2.3055,2.3029,0.066,0.031,0.1,1.231,0.01563,0.01562,1.232,5.252,32.0,-4.39,124.0,129.31
119.0,2.2987,2.3053,2.2983,0.117,0.156,0.1,0.6063,0.03125,0.03125,-4.522,51.28,35.0,-31.9,2.7,130.43
120.0,2.2987,2.3054,2.2983,0.117,0.094,0.1,0.04636,0.007813,0.007812,1.001,6.644,37.0,-0.946,13.6,131.5
121.0,2.2962,2.3056,2.2983,0.125,0.188,0.1,0.1862,0.01563,0.01562,1.019,3.665,35.0,-1.34,31.9,132.82
122.0,2.2936,2.3051,2.2969,0.09,0.188,0.1,0.3078,0.03125,0.03125,-2.493,14.0,37.0,-4.8,3.79,134.31
123.0,2.3112,2.3062,2.2969,0.09,0.062,0.1,0.3891,0.007812,0.007812,1.037,74.12,37.0,-24.5,2.1,135.47
124.0,2.3019,2.3063,2.2989,0.137,0.094,0.1,0.6284,0.01563,0.01562,1.146,77.99,37.0,-37.8,2.77,136.72
125.0,2.2834,2.3051,2.3208,0.062,0.031,0.1,0.4739,0.03125,0.03125,1.008,26.1,37.0,-11.4,427.0,137.93
126.0,2.3557,2.3045,2.3437,0.062,0.094,0.1,6.993,0.0625,0.0625,0.684,18.96,36.0,-17.4,1150.0,139.3
127.0,2.313,2.3039,2.3052,0.062,0.062,0.1,2.18,0.0625,0.0625,0.421,14.86,31.0,-14.7,314.0,140.62
128.0,2.303,2.304,2.2969,0.086,0.125,0.1,0.2092,0.0625,0.0625,-150.251,19.59,36.0,-16.3,0.494,142.09
129.0,2.299,2.3043,2.2969,0.086,0.062,0.1,0.03748,0.01563,0.01562,0.98,2.292,35.0,-0.313,7.63,143.52
130.0,2.2962,2.3049,2.2975,0.102,0.156,0.1,0.1975,0.03125,0.03125,-10.541,11.04,35.0,-4.99,1.99,144.96
131.0,2.3054,2.3052,2.2975,0.102,0.094,0.1,0.5859,0.007813,0.007812,1.064,118.4,37.0,-43.5,1.17,146.53
132.0,2.2895,2.3051,2.3008,0.102,0.062,0.1,0.697,0.01562,0.01562,0.546,82.93,37.0,-38.5,3.72,147.85
133.0,2.3025,2.3033,2.3457,0.062,0.062,0.1,3.454,0.01562,0.01562,1.063,19.84,35.0,-11.7,1190.0,149.09
134.0,2.2803,2.3024,2.3289,0.066,0.156,0.1,2.269,0.03125,0.03125,-49.866,99.27,37.0,-31.0,8.36,150.4
135.0,2.3252,2.3036,2.3289,0.066,0.031,0.1,4.707,0.007813,0.007812,1.262,14.0,35.0,-9.46,974.0,151.72
136.0,2.303,2.3035,2.3107,0.062,0.062,0.1,1.384,0.01562,0.01562,1.135,5.881,35.0,-2.64,326.0,153.04
137.0,2.301,2.3035,2.3036,0.078,0.094,0.1,0.6658,0.03125,0.03125,1.073,1.591,33.0,-0.925,121.0,154.47
138.0,2.2968,2.3027,2.2992,0.121,0.125,0.1,1.107,0.0625,0.0625,-44.95,105.1,35.0,-87.4,2.14,155.7
139.0,2.2938,2.3025,2.2992,0.121,0.156,0.1,1.233,0.01563,0.01562,1.176,5.352,35.0,-1.8,147.0,156.99
140.0,2.3184,2.3034,2.2959,0.094,0.062,0.1,0.1246,0.03125,0.03125,1.254,7.915,32.0,-6.93,13.8,158.25
141.0,2.3046,2.3039,2.3009,0.102,0.188,0.1,1.445,0.0625,0.0625,0.99,1.543,33.0,-1.53,175.0,159.68
142.0,2.3078,2.3046,2.2965,0.098,0.062,0.1,0.5229,0.125,0.125,-60.212,44.53,36.0,-40.4,0.447,161.08
143.0,2.3017,2.3041,2.2965,0.098,0.062,0.1,0.01921,0.03125,0.03125,0.81,0.9196,34.0,-0.478,7.49,162.75
144.0,2.3092,2.3045,2.2981,0.117,0.094,0.1,0.8087,0.0625,0.0625,0.613,3.272,33.0,-3.09,94.5,163.9
145.0,2.3041,2.3055,2.2949,0.109,0.094,0.1,0.1969,0.0625,0.0625,-194.786,18.06,36.0,-14.9,0.261,165.11
146.0,2.301,2.3028,2.2949,0.109,0.125,0.1,0.02203,0.01563,0.01562,1.004,1.296,36.0,-0.104,4.71,166.76
147.0,2.2924,2.3018,2.2948,0.098,0.125,0.1,0.4698,0.03125,0.03125,0.603,35.34,35.0,-20.4,1.36,168.15
148.0,2.3112,2.3022,2.3481,0.066,0.062,0.1,5.964,0.03125,0.03125,1.036,5.75,32.0,-5.52,2180.0,169.48
149.0,2.2924,2.3018,2.3222,0.062,0.062,0.1,2.195,0.0625,0.0625,0.781,8.244,35.0,-4.7,1000.0,170.72
150.0,2.3037,2.3022,2.3744,0.055,0.031,0.1,11.42,0.125,0.125,0.486,8.781,31.0,-8.69,3500.0,172.21
151.0,2.3804,2.306,2.3094,0.078,0.094,0.1,5.62,0.125,0.125,0.423,16.24,31.0,-15.5,588.0,173.38
152.0,2.2997,2.3065,2.2978,0.102,0.062,0.1,0.5243,0.125,0.125,-86.289,36.8,36.0,-32.6,4.02,174.9
153.0,2.3012,2.3064,2.2978,0.102,0.188,0.1,0.8482,0.03125,0.03125,0.823,8.658,36.0,-7.4,77.9,176.18
154.0,2.3009,2.3074,2.2951,0.109,0.125,0.1,0.2984,0.0625,0.0625,-94.682,25.31,35.0,-20.6,1.46,177.53
155.0,2.3054,2.3064,2.2951,0.109,0.094,0.1,0.4528,0.01562,0.01562,1.17,56.4,35.0,-27.5,1.63,178.82
156.0,2.2899,2.3058,2.2974,0.098,0.312,0.1,0.4063,0.03125,0.03125,0.966,2.517,33.0,-2.48,78.2,180.37
157.0,2.3039,2.3059,2.2975,0.102,0.094,0.1,0.5262,0.0625,0.0625,-73.157,58.42,36.0,-50.0,2.54,181.86
158.0,2.3096,2.3066,2.2975,0.102,0.031,0.1,0.3032,0.01563,0.01562,1.056,8.857,35.0,-6.46,21.5,183.19
159.0,2.2963,2.3067,2.2952,0.102,0.0,0.1,0.3902,0.03125,0.03125,1.724,23.22,35.0,-11.1,2.86,184.74
160.0,2.2587,2.3037,2.3269,0.047,0.125,0.1,2.303,0.0625,0.0625,-16.066,8.073,36.0,-6.62,210.0,186.18
161.0,2.2814,2.3026,2.3269,0.047,0.125,0.1,0.7106,0.01563,0.01562,0.875,46.33,38.0,-7.65,456.0,187.77
